Column1,Country,Year,Series,Value
Jordan2010,Jordan,2010,Supply per capita (gigajoules),46
Jordan2013,Jordan,2013,Supply per capita (gigajoules),45
Jordan2014,Jordan,2014,Supply per capita (gigajoules),47
Jordan2015,Jordan,2015,Supply per capita (gigajoules),48
Kazakhstan1995,Kazakhstan,1995,Primary energy production (petajoules),2663
Kazakhstan2000,Kazakhstan,2000,Primary energy production (petajoules),3367
Kazakhstan2005,Kazakhstan,2005,Primary energy production (petajoules),5131
Kazakhstan2010,Kazakhstan,2010,Primary energy production (petajoules),6770
Kazakhstan2013,Kazakhstan,2013,Primary energy production (petajoules),7198
Kazakhstan2014,Kazakhstan,2014,Primary energy production (petajoules),7092
Kazakhstan2015,Kazakhstan,2015,Primary energy production (petajoules),7338
Kazakhstan1995,Kazakhstan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-477
Kazakhstan2000,Kazakhstan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1819
Kazakhstan2005,Kazakhstan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-2771
Kazakhstan2010,Kazakhstan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-3318
Kazakhstan2013,Kazakhstan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-3568
Kazakhstan2014,Kazakhstan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-3722
Kazakhstan2015,Kazakhstan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-4120
Kazakhstan2000,Kazakhstan,2000,Changes in stocks (petajoules),-12
Kazakhstan2005,Kazakhstan,2005,Changes in stocks (petajoules),8
Kazakhstan2010,Kazakhstan,2010,Changes in stocks (petajoules),88
Kazakhstan2013,Kazakhstan,2013,Changes in stocks (petajoules),80
Kazakhstan2014,Kazakhstan,2014,Changes in stocks (petajoules),16
Kazakhstan2015,Kazakhstan,2015,Changes in stocks (petajoules),-41
Kazakhstan1995,Kazakhstan,1995,Total supply (petajoules),2185
Kazakhstan2000,Kazakhstan,2000,Total supply (petajoules),1560
Kazakhstan2005,Kazakhstan,2005,Total supply (petajoules),2352
Kazakhstan2010,Kazakhstan,2010,Total supply (petajoules),3363
Kazakhstan2013,Kazakhstan,2013,Total supply (petajoules),3550
Kazakhstan2014,Kazakhstan,2014,Total supply (petajoules),3354
Kazakhstan2015,Kazakhstan,2015,Total supply (petajoules),3258
Kazakhstan1995,Kazakhstan,1995,Supply per capita (gigajoules),137
Kazakhstan2000,Kazakhstan,2000,Supply per capita (gigajoules),104
Kazakhstan2005,Kazakhstan,2005,Supply per capita (gigajoules),155
Kazakhstan2010,Kazakhstan,2010,Supply per capita (gigajoules),206
Kazakhstan2013,Kazakhstan,2013,Supply per capita (gigajoules),208
Kazakhstan2014,Kazakhstan,2014,Supply per capita (gigajoules),193
Kazakhstan2015,Kazakhstan,2015,Supply per capita (gigajoules),185
Kenya1990,Kenya,1990,Primary energy production (petajoules),217
Kenya1995,Kenya,1995,Primary energy production (petajoules),239
Kenya2000,Kenya,2000,Primary energy production (petajoules),248
Kenya2005,Kenya,2005,Primary energy production (petajoules),338
Kenya2010,Kenya,2010,Primary energy production (petajoules),650
Kenya2013,Kenya,2013,Primary energy production (petajoules),719
Kenya2014,Kenya,2014,Primary energy production (petajoules),750
Kenya2015,Kenya,2015,Primary energy production (petajoules),761
Kenya1990,Kenya,1990,Net imports [Imports - Exports - Bunkers] (petajoules),71
Kenya1995,Kenya,1995,Net imports [Imports - Exports - Bunkers] (petajoules),98
Kenya2000,Kenya,2000,Net imports [Imports - Exports - Bunkers] (petajoules),141
Kenya2005,Kenya,2005,Net imports [Imports - Exports - Bunkers] (petajoules),109
Kenya2010,Kenya,2010,Net imports [Imports - Exports - Bunkers] (petajoules),137
Kenya2013,Kenya,2013,Net imports [Imports - Exports - Bunkers] (petajoules),149
Kenya2014,Kenya,2014,Net imports [Imports - Exports - Bunkers] (petajoules),159
Kenya2015,Kenya,2015,Net imports [Imports - Exports - Bunkers] (petajoules),189
Kenya1990,Kenya,1990,Changes in stocks (petajoules),0
Kenya2005,Kenya,2005,Changes in stocks (petajoules),4
Kenya2010,Kenya,2010,Changes in stocks (petajoules),-5
Kenya2013,Kenya,2013,Changes in stocks (petajoules),-1
Kenya2014,Kenya,2014,Changes in stocks (petajoules),0
Kenya2015,Kenya,2015,Changes in stocks (petajoules),0
Kenya1990,Kenya,1990,Total supply (petajoules),289
Kenya1995,Kenya,1995,Total supply (petajoules),337
Kenya2000,Kenya,2000,Total supply (petajoules),388
Kenya2005,Kenya,2005,Total supply (petajoules),443
Kenya2010,Kenya,2010,Total supply (petajoules),793
Kenya2013,Kenya,2013,Total supply (petajoules),868
Kenya2014,Kenya,2014,Total supply (petajoules),909
Kenya2015,Kenya,2015,Total supply (petajoules),949
Kenya1990,Kenya,1990,Supply per capita (gigajoules),12
Kenya1995,Kenya,1995,Supply per capita (gigajoules),12
Kenya2000,Kenya,2000,Supply per capita (gigajoules),12
Kenya2005,Kenya,2005,Supply per capita (gigajoules),12
Kenya2010,Kenya,2010,Supply per capita (gigajoules),20
Kenya2013,Kenya,2013,Supply per capita (gigajoules),20
Kenya2014,Kenya,2014,Supply per capita (gigajoules),20
Kenya2015,Kenya,2015,Supply per capita (gigajoules),21
Kiribati1990,Kiribati,1990,Primary energy production (petajoules),0
Kiribati1995,Kiribati,1995,Primary energy production (petajoules),0
Kiribati2000,Kiribati,2000,Primary energy production (petajoules),0
Kiribati2005,Kiribati,2005,Primary energy production (petajoules),0
Kiribati2010,Kiribati,2010,Primary energy production (petajoules),0
Kiribati2013,Kiribati,2013,Primary energy production (petajoules),0
Kiribati2014,Kiribati,2014,Primary energy production (petajoules),0
Kiribati2015,Kiribati,2015,Primary energy production (petajoules),0
Kiribati1990,Kiribati,1990,Net imports [Imports - Exports - Bunkers] (petajoules),0
Kiribati1995,Kiribati,1995,Net imports [Imports - Exports - Bunkers] (petajoules),0
Kiribati2000,Kiribati,2000,Net imports [Imports - Exports - Bunkers] (petajoules),0
Kiribati2005,Kiribati,2005,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati2010,Kiribati,2010,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati2013,Kiribati,2013,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati2014,Kiribati,2014,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati2015,Kiribati,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1
Kiribati1990,Kiribati,1990,Total supply (petajoules),0
Kiribati1995,Kiribati,1995,Total supply (petajoules),0
Kiribati2000,Kiribati,2000,Total supply (petajoules),0
Kiribati2005,Kiribati,2005,Total supply (petajoules),1
Kiribati2010,Kiribati,2010,Total supply (petajoules),1
Kiribati2013,Kiribati,2013,Total supply (petajoules),1
Kiribati2014,Kiribati,2014,Total supply (petajoules),1
Kiribati2015,Kiribati,2015,Total supply (petajoules),1
Kiribati1990,Kiribati,1990,Supply per capita (gigajoules),5
Kiribati1995,Kiribati,1995,Supply per capita (gigajoules),5
Kiribati2000,Kiribati,2000,Supply per capita (gigajoules),6
Kiribati2005,Kiribati,2005,Supply per capita (gigajoules),9
Kiribati2010,Kiribati,2010,Supply per capita (gigajoules),8
Kiribati2013,Kiribati,2013,Supply per capita (gigajoules),7
Kiribati2014,Kiribati,2014,Supply per capita (gigajoules),7
Kiribati2015,Kiribati,2015,Supply per capita (gigajoules),8
Kuwait1990,Kuwait,1990,Primary energy production (petajoules),2799
Kuwait1995,Kuwait,1995,Primary energy production (petajoules),4802
Kuwait2000,Kuwait,2000,Primary energy production (petajoules),4748
Kuwait2005,Kuwait,2005,Primary energy production (petajoules),6080
Kuwait2010,Kuwait,2010,Primary energy production (petajoules),5557
Kuwait2013,Kuwait,2013,Primary energy production (petajoules),7107
Kuwait2014,Kuwait,2014,Primary energy production (petajoules),6943
Kuwait2015,Kuwait,2015,Primary energy production (petajoules),7003
Kuwait1990,Kuwait,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-2090
Kuwait1995,Kuwait,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-3968
Kuwait2000,Kuwait,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-3941
Kuwait2005,Kuwait,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-4915
Kuwait2010,Kuwait,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-4229
Kuwait2013,Kuwait,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-5710
Kuwait2014,Kuwait,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-5626
Kuwait2015,Kuwait,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-5531
Kuwait1990,Kuwait,1990,Changes in stocks (petajoules),142
Kuwait1995,Kuwait,1995,Changes in stocks (petajoules),-1
Kuwait2000,Kuwait,2000,Changes in stocks (petajoules),-17
Kuwait2005,Kuwait,2005,Changes in stocks (petajoules),31
Kuwait2010,Kuwait,2010,Changes in stocks (petajoules),-22
Kuwait2013,Kuwait,2013,Changes in stocks (petajoules),-21
Kuwait2014,Kuwait,2014,Changes in stocks (petajoules),-22
Kuwait2015,Kuwait,2015,Changes in stocks (petajoules),14
Kuwait1990,Kuwait,1990,Total supply (petajoules),566
Kuwait1995,Kuwait,1995,Total supply (petajoules),835
Kuwait2000,Kuwait,2000,Total supply (petajoules),824
Kuwait2005,Kuwait,2005,Total supply (petajoules),1133
Kuwait2010,Kuwait,2010,Total supply (petajoules),1350
Kuwait2013,Kuwait,2013,Total supply (petajoules),1418
Kuwait2014,Kuwait,2014,Total supply (petajoules),1339
Kuwait2015,Kuwait,2015,Total supply (petajoules),1458
Kuwait1990,Kuwait,1990,Supply per capita (gigajoules),271
Kuwait1995,Kuwait,1995,Supply per capita (gigajoules),513
Kuwait2000,Kuwait,2000,Supply per capita (gigajoules),424
Kuwait2005,Kuwait,2005,Supply per capita (gigajoules),500
Kuwait2010,Kuwait,2010,Supply per capita (gigajoules),441
Kuwait2013,Kuwait,2013,Supply per capita (gigajoules),394
Kuwait2014,Kuwait,2014,Supply per capita (gigajoules),357
Kuwait2015,Kuwait,2015,Supply per capita (gigajoules),375
Kyrgyzstan1995,Kyrgyzstan,1995,Primary energy production (petajoules),53
Kyrgyzstan2000,Kyrgyzstan,2000,Primary energy production (petajoules),60
Kyrgyzstan2005,Kyrgyzstan,2005,Primary energy production (petajoules),61
Kyrgyzstan2010,Kyrgyzstan,2010,Primary energy production (petajoules),53
Kyrgyzstan2013,Kyrgyzstan,2013,Primary energy production (petajoules),74
Kyrgyzstan2014,Kyrgyzstan,2014,Primary energy production (petajoules),80
Kyrgyzstan2015,Kyrgyzstan,2015,Primary energy production (petajoules),75
Kyrgyzstan1995,Kyrgyzstan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),51
Kyrgyzstan2000,Kyrgyzstan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),38
Kyrgyzstan2005,Kyrgyzstan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),53
Kyrgyzstan2010,Kyrgyzstan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),63
Kyrgyzstan2013,Kyrgyzstan,2013,Net imports [Imports - Exports - Bunkers] (petajoules),96
Kyrgyzstan2014,Kyrgyzstan,2014,Net imports [Imports - Exports - Bunkers] (petajoules),93
Kyrgyzstan2015,Kyrgyzstan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),103
Kyrgyzstan1995,Kyrgyzstan,1995,Changes in stocks (petajoules),3
Kyrgyzstan2000,Kyrgyzstan,2000,Changes in stocks (petajoules),-2
Kyrgyzstan2005,Kyrgyzstan,2005,Changes in stocks (petajoules),0
Kyrgyzstan2010,Kyrgyzstan,2010,Changes in stocks (petajoules),1
Kyrgyzstan2013,Kyrgyzstan,2013,Changes in stocks (petajoules),2
Kyrgyzstan2014,Kyrgyzstan,2014,Changes in stocks (petajoules),2
Kyrgyzstan2015,Kyrgyzstan,2015,Changes in stocks (petajoules),12
Kyrgyzstan1995,Kyrgyzstan,1995,Total supply (petajoules),101
Kyrgyzstan2000,Kyrgyzstan,2000,Total supply (petajoules),101
Kyrgyzstan2005,Kyrgyzstan,2005,Total supply (petajoules),114
Kyrgyzstan2010,Kyrgyzstan,2010,Total supply (petajoules),115
Kyrgyzstan2013,Kyrgyzstan,2013,Total supply (petajoules),167
Kyrgyzstan2014,Kyrgyzstan,2014,Total supply (petajoules),171
Kyrgyzstan2015,Kyrgyzstan,2015,Total supply (petajoules),167
Kyrgyzstan1995,Kyrgyzstan,1995,Supply per capita (gigajoules),22
Kyrgyzstan2000,Kyrgyzstan,2000,Supply per capita (gigajoules),20
Kyrgyzstan2005,Kyrgyzstan,2005,Supply per capita (gigajoules),23
Kyrgyzstan2010,Kyrgyzstan,2010,Supply per capita (gigajoules),21
Kyrgyzstan2013,Kyrgyzstan,2013,Supply per capita (gigajoules),29
Kyrgyzstan2014,Kyrgyzstan,2014,Supply per capita (gigajoules),29
Kyrgyzstan2015,Kyrgyzstan,2015,Supply per capita (gigajoules),28
Lao People's Dem. Rep.1990,Lao People's Dem. Rep.,1990,Primary energy production (petajoules),54
Lao People's Dem. Rep.1995,Lao People's Dem. Rep.,1995,Primary energy production (petajoules),57
Lao People's Dem. Rep.2000,Lao People's Dem. Rep.,2000,Primary energy production (petajoules),70
Lao People's Dem. Rep.2005,Lao People's Dem. Rep.,2005,Primary energy production (petajoules),73
Lao People's Dem. Rep.2010,Lao People's Dem. Rep.,2010,Primary energy production (petajoules),117
Lao People's Dem. Rep.2013,Lao People's Dem. Rep.,2013,Primary energy production (petajoules),141
Lao People's Dem. Rep.2014,Lao People's Dem. Rep.,2014,Primary energy production (petajoules),141
Lao People's Dem. Rep.2015,Lao People's Dem. Rep.,2015,Primary energy production (petajoules),185
Lao People's Dem. Rep.1990,Lao People's Dem. Rep.,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5
Lao People's Dem. Rep.1995,Lao People's Dem. Rep.,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
Lao People's Dem. Rep.2000,Lao People's Dem. Rep.,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1
Lao People's Dem. Rep.2005,Lao People's Dem. Rep.,2005,Net imports [Imports - Exports - Bunkers] (petajoules),3
Lao People's Dem. Rep.2010,Lao People's Dem. Rep.,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
Lao People's Dem. Rep.2013,Lao People's Dem. Rep.,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-10
Lao People's Dem. Rep.2014,Lao People's Dem. Rep.,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-8
Lao People's Dem. Rep.2015,Lao People's Dem. Rep.,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
Lao People's Dem. Rep.1990,Lao People's Dem. Rep.,1990,Total supply (petajoules),60
Lao People's Dem. Rep.1995,Lao People's Dem. Rep.,1995,Total supply (petajoules),63
Lao People's Dem. Rep.2000,Lao People's Dem. Rep.,2000,Total supply (petajoules),70
Lao People's Dem. Rep.2005,Lao People's Dem. Rep.,2005,Total supply (petajoules),76
Lao People's Dem. Rep.2010,Lao People's Dem. Rep.,2010,Total supply (petajoules),119
Lao People's Dem. Rep.2013,Lao People's Dem. Rep.,2013,Total supply (petajoules),130
Lao People's Dem. Rep.2014,Lao People's Dem. Rep.,2014,Total supply (petajoules),133
Lao People's Dem. Rep.2015,Lao People's Dem. Rep.,2015,Total supply (petajoules),187
Lao People's Dem. Rep.1990,Lao People's Dem. Rep.,1990,Supply per capita (gigajoules),14
Lao People's Dem. Rep.1995,Lao People's Dem. Rep.,1995,Supply per capita (gigajoules),13
Lao People's Dem. Rep.2000,Lao People's Dem. Rep.,2000,Supply per capita (gigajoules),13
Lao People's Dem. Rep.2005,Lao People's Dem. Rep.,2005,Supply per capita (gigajoules),13
Lao People's Dem. Rep.2010,Lao People's Dem. Rep.,2010,Supply per capita (gigajoules),19
Lao People's Dem. Rep.2013,Lao People's Dem. Rep.,2013,Supply per capita (gigajoules),20
Lao People's Dem. Rep.2014,Lao People's Dem. Rep.,2014,Supply per capita (gigajoules),20
Lao People's Dem. Rep.2015,Lao People's Dem. Rep.,2015,Supply per capita (gigajoules),28
Latvia1995,Latvia,1995,Primary energy production (petajoules),60
Latvia2000,Latvia,2000,Primary energy production (petajoules),59
Latvia2005,Latvia,2005,Primary energy production (petajoules),78
Latvia2010,Latvia,2010,Primary energy production (petajoules),95
Latvia2013,Latvia,2013,Primary energy production (petajoules),98
Latvia2014,Latvia,2014,Primary energy production (petajoules),108
Latvia2015,Latvia,2015,Primary energy production (petajoules),98
Latvia1995,Latvia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),138
Latvia2000,Latvia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),94
Latvia2005,Latvia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),116
Latvia2010,Latvia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),78
Latvia2013,Latvia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),100
